Estado,Nome da campanha,ID da campanha,campaignExternalId,País da campanha,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Ajuste de lance para o topo da pesquisa,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,CPM (convertido),CPM,Cliques,CTR visível (vCTR),CTR,CPC (convertido),CPC,CPM visível (vCPM) (convertido),CPM visível (vCPM),Distribuição visível,Impressões visíveis,Custo total (convertido),Custo total,Alcance do usuário,Alcance por domicílio,Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Visualizações da página de detalhes,Visualizações da página de detalhes (clientes novos para a marca),Adicionar ao carrinho,Adições ao carrinho (cliente novo para a marca),Pesquisas de marcas,Pesquisas de marca (clientes novos para a marca),Visualizações da página da Brand Store,Visualizações da página da Brand Store (clientes novos para a marca),Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Marca,Parcela de impressões no topo da pesquisa
PAUSADO,Campanha de Categoria- L2030-B-o108/07,A04431392CWEH6T7OM3EV,15174741952608,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 5,00","R$ 5,00",CPC,0,,,26,0,"0,0020","R$ 0,86","R$ 0,86",,,0,0,"R$ 22,37","R$ 22,37",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Palavra-Chave- L2030-B-o103/07,A09613922ZFZFUSCFPG8G,245513710362262,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,12,0,"0,0135","R$ 1,28","R$ 1,28",,,0,0,"R$ 15,32","R$ 15,32",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,"8,70%"
PAUSADO,Campanha de Produto Indicado- PG3070-o425/08,A08398213PG1ME9SE2ZOO,7243834473931,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,8,0,"0,0024","R$ 0,84","R$ 0,84",,,0,0,"R$ 6,70","R$ 6,70",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,"13,41%"
PAUSADO,Campanha de Categoria- L2440-AML-o108/07,A015296830O9PUFU1SQF5,201318298593809,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,16,0,"0,0014","R$ 1,05","R$ 1,05",,,0,0,"R$ 16,79","R$ 16,79",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Categoria- L2450--CZ-o108/07,A09977152HSJEIAHVAYDC,115352191986775,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,8,0,"0,0004","R$ 0,46","R$ 0,46",,,0,0,"R$ 3,71","R$ 3,71",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
ATIVADO,Campanha de Produto Indicado- PXM-o311/08,A04439153JZKYP5MW4JCW,957557930999,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 40,00","R$ 40,00",CPC,0,,,9,0,"0,0030","R$ 0,73","R$ 0,73",,,0,0,"R$ 6,56","R$ 6,56",,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,110.14786585365854,0,,,0,0,,,0,,"13,26%"
PAUSADO,Campanha de Produto Indicado- SP-01-o228/07,A02415351BZSNN7BHZZ12,191419563474871,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 40,00","R$ 40,00",CPC,0,,,7,0,"0,0026","R$ 0,82","R$ 0,82",,,0,0,"R$ 5,73","R$ 5,73",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,82.95113438045377,0,,,0,0,,,0,,<5%
PAUSADO,campanha de categoria- P3060-o108/07,A04359202S4WELM32LSV3,28217701710072,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),12/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,15,0,"0,0011","R$ 0,74","R$ 0,74",,,0,0,"R$ 11,06","R$ 11,06",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Palavra-Chave- P3070-o116/07,A01278123DJRQWVJHGL0T,19556674217425,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,5,0,"0,0052","R$ 1,43","R$ 1,43",,,0,0,"R$ 7,13","R$ 7,13",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Palavra-Chave- L2440-AML-o103/07,A06566361ECCLLPM2J9T2,70139439261043,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,6,0,"0,0042","R$ 1,47","R$ 1,47",,,0,0,"R$ 8,81","R$ 8,81",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,"7,37%"
PAUSADO,campanha automática individual- SP-PP-o59/09,A05648093R0GDUJ9YPVWK,234950194216241,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,25,0,"0,0006","R$ 1,04","R$ 1,04",,,0,0,"R$ 26,04","R$ 26,04",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Categoria- SP-01-o108/07,A0897564NVP88TASUZ03,46394093147862,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,5,0,"0,0005","R$ 0,93","R$ 0,93",,,0,0,"R$ 4,64","R$ 4,64",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,campanha automática inidividual- SP-P,A08558963IMW39QLXI11P,278724655410352,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,1,0,"0,0012","R$ 0,26","R$ 0,26",,,0,0,"R$ 0,26","R$ 0,26",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,campanha automática individual- PG3070-o425/08,A0176843QRZKKBVEMYWO,58296046930587,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,15,0,"0,0034","R$ 1,04","R$ 1,04",,,0,0,"R$ 15,64","R$ 15,64",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Palavra-Chave- L2450--CZ-o116/07,A09210031CZU3QQD8KU9X,127101313485538,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
ATIVADO,Campanha de Produto Indicado- P3070-o228/07,A0508425L9D53424IX5Q,204200209630375,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 20,00","R$ 20,00",CPC,0,,,156,0,"0,0021","R$ 1,19","R$ 1,19",,,0,0,"R$ 185,84","R$ 185,84",,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,6.631295738269477,0,,,0,0,,,0,,<5%
