Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
22 de ago. de 2026 - 20 de set. de 2026,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""261168792220999""",Campanha de Produto Indicado- PXM-o311/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,798,2,0.2506%,0.53000,1.06,519.03,489.65094,1,3,50.0000%
22 de ago. de 2026 - 9 de set. de 2026,"=""163724971822822""",campanha automática individual- PXM-o425/08,"=""560459911677559""",campanha automática individual- PXM-o425/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,1383289894499,campanha automatica individual,BRL,1226,3,0.2447%,1.11000,3.33,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L1618,B0H6C93M6Z,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,574,1,0.1742%,0.73000,0.73,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2430-A,B0H6XM9LGJ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,332,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 4 de set. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-01,B0H5Z1XK3V,Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,10,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2430-AML,B0H6MYJ5P3,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,247,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2440-B,B0H5M7DCH6,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,442,1,0.2262%,0.74000,0.74,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2460-B,B0H6KTGGM8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,170,2,1.1765%,0.69000,1.38,398.35,288.65942,1,1,50.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,Q2460-A,B0H4P1FFWQ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,239,1,0.4184%,0.68000,0.68,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2025,B0H4WPPLZB,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,250,2,0.8000%,0.61500,1.23,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 25 de ago. de 2026,"=""58296046930587""",campanha automática individual- PG3070-o425/08,"=""476720209289154""",campanha automática individual- PG3070-o425/08,PG3070,B0H4S6J82Z,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,15,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,PG3070,B0H4S6J82Z,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,512,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 9 de set. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,PG3070,B0H4S6J82Z,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,548,1,0.1825%,0.99000,0.99,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2470-A,B0H6QWF5NS,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,468,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,EMB-05P,B0H77J9YF2,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1041,1,0.0961%,0.80000,0.80,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P3050,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,3684,14,0.3800%,0.57786,8.09,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 25 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,P3050,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,133,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2460-CP,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,535,3,0.5607%,0.84000,2.52,0.00,0.00000,0,0,0.0000%
