Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
22 de ago. de 2026 - 22 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,,"asin-expanded=""B01M0RM7M9""",TARGETING_EXPRESSION,188523215946847,0.55,146788124202114,campanha de produto indicado,BRL,7,0,0.0000%,,0.00,0.00,0,,0,
29 de ago. de 2026 - 20 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0H1TYSM8J""",TARGETING_EXPRESSION,238124961522086,1.1,146788124202114,campanha de produto indicado,BRL,266,2,0.7519%,1.31500,2.63,0.00,0,0.0000%,0,0.00000
3 de set. de 2026 - 20 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin=""B0D1S21PK1""",TARGETING_EXPRESSION,236055668768176,0.9,146788124202114,campanha de produto indicado,BRL,24,0,0.0000%,,0.00,0.00,0,,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B077KD9G7K""",TARGETING_EXPRESSION,111714128119059,1.1,146788124202114,campanha de produto indicado,BRL,1252,1,0.0799%,1.65000,1.65,0.00,0,0.0000%,0,0.00000
8 de set. de 2026 - 8 de set. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0FXLMPQXH""",TARGETING_EXPRESSION,132442572473502,0.66,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
23 de ago. de 2026 - 20 de set. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin=""B0H37KRPHM""",TARGETING_EXPRESSION,65792207550930,0.9,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
23 de ago. de 2026 - 9 de set. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,,"asin-expanded=""B0GYK3X7FD""",TARGETING_EXPRESSION,269286007171375,0.66,146788124202114,campanha de produto indicado,BRL,28,0,0.0000%,,0.00,0.00,0,,0,
25 de ago. de 2026 - 4 de set. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,,coletor de bitucas,EXACT,124912267277916,1.2,99873185432506,Campanhas Manuais Claude,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0F4T8FCDD""",TARGETING_EXPRESSION,160398547205471,1.1,146788124202114,campanha de produto indicado,BRL,567,4,0.7055%,1.41250,5.65,0.00,0,0.0000%,0,0.00000
22 de ago. de 2026 - 19 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0GZ59P5FC""",TARGETING_EXPRESSION,107952825043951,1.0,146788124202114,campanha de produto indicado,BRL,37,0,0.0000%,,0.00,0.00,0,,0,
22 de ago. de 2026 - 23 de ago. de 2026,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""107384110271466""",Campanha de Produto Indicado- PXP-o103/07,,"asin-expanded=""B08B7VD1RX""",TARGETING_EXPRESSION,131527396978143,0.92,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
8 de set. de 2026 - 14 de set. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0F7RN8KDN""",TARGETING_EXPRESSION,45314234657504,0.78,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
22 de ago. de 2026 - 18 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B08HJR5TDG""",TARGETING_EXPRESSION,258730757546008,1.1,146788124202114,campanha de produto indicado,BRL,14,0,0.0000%,,0.00,0.00,0,,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""78244851008766""",Campanha automática individual EGC,"=""394021670034987""",Campanha automática individual EGC,,substitutes,TARGETING_EXPRESSION_PREDEFINED,304331317553305,,1383289894499,campanha automatica individual,BRL,1369,4,0.2922%,0.70250,2.81,0.00,0,0.0000%,0,0.00000
