Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
20 de set. de 2026 - 20 de set. de 2026,B0FVH872WZ,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B01LYHLLV2""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,73,1,1.47000,1.3699%,1.47,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 9 de set. de 2026,lixeira banheiro sem tampa,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030,BRL,6,1,1.02000,16.6667%,1.02,0.00,0.00000,0,0,0.0000%
20 de set. de 2026 - 20 de set. de 2026,B08HJR5TDG,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0FNRG3JS6""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,4,1,1.47000,25.0000%,1.47,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 17 de set. de 2026,lixeira com pedal 50 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,9,1,0.36000,11.1111%,0.36,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 19 de set. de 2026,lixeira grande,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,68,4,0.65500,5.8824%,2.62,0.00,0.00000,0,0,0.0000%
11 de set. de 2026 - 19 de set. de 2026,lixeira aço inox 30 litros,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0BHMZBZW9""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,4,1,1.49000,25.0000%,1.49,0.00,0.00000,0,0,0.0000%
28 de ago. de 2026 - 16 de set. de 2026,B0H4NLBG1Y,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0H5LJ939G""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,11,1,0.90000,9.0909%,0.90,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,lixeira inox para pia de cozinha,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,lixeira inox para pia de cozinha,EXACT,99873185432506,Campanhas Manuais Claude,L2430-B,BRL,71,1,1.25000,1.4085%,1.25,0.00,0.00000,0,0,0.0000%
27 de ago. de 2026 - 3 de set. de 2026,lixeira inox 3 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,4,1,0.55000,25.0000%,0.55,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 28 de ago. de 2026,B09YDKHT3H,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P2440,BRL,5,1,0.80000,20.0000%,0.80,0.00,0.00000,0,0,0.0000%
31 de ago. de 2026 - 31 de ago. de 2026,lixeira inox 70 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,1,1,0.80000,100.0000%,0.80,0.00,0.00000,0,0,0.0000%
11 de set. de 2026 - 13 de set. de 2026,lixeira cozinha 50 litros inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,2,1,0.80000,50.0000%,0.80,0.00,0.00000,0,0,0.0000%
