Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1618-B,B0H6KPN1XS,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,360,5,1.3889%,0.66600,3.33,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L4060-B,B0H6H4NPN8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,187,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4060ALC,B0H6H25KJX,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,280,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PG3060,B0H7T7K23P,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,285,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3070-A,B0H4W6B587,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,110,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2030-A,B0H6XW8YF8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,147,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3040-B,B0H5MGK37B,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,166,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4080,B0H63W8G49,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,754,3,0.3979%,0.93667,2.81,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 25 de ago. de 2026,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""197709452963098""",Campanha de Palavra-Chave Cinzeiros,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,1,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,146,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,L2470-CZ,B0H3QLGVX5,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,424,2,0.4717%,0.55500,1.11,0.00,0.00000,0,0,0.0000%
