Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira banheiro basculante,4,2.670%,"asin-expanded=""B0DJPXST91""",-,campanha de produto indicado,Campanha de Produto Indicado- L2030-B-o311/08,Campanha de Produto Indicado- L2030-B-o311/08,BRL,1,4,25.000%,R$1.3,R$1.3,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixo 50l,11,2.110%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,4,12,33.330%,R$3.36,R$0.84,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,cesto de lixo,56,0.110%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,11,9.090%,R$0.58,R$0.58,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira 15 litros com pedal,10,2.8400000000000006%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,11,9.090%,R$0.76,R$0.76,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira basculante 12l inox para banheiro,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,11,9.090%,R$0.31,R$0.31,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira basculante 3 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,11,9.090%,R$1.0,R$1.0,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira grande 50l inox,1,78.56999999999999%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,11,18.180%,R$1.3,R$0.65,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,relogio digital de parede,29,0.5799999999999999%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o116/07,campanha automática individual- SP-PP16/07,BRL,1,11,9.090%,R$1.13,R$1.13,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira 15 litros inox,2,19.230%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,10,10.000%,R$0.76,R$0.76,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira de cozinha 40 litros automática,1,52.630%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,10,10.000%,R$0.71,R$0.71,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox grande sem tampa,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,10,20.000%,R$0.64,R$0.32,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox redonda,1,83.330%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,10,20.000%,R$1.48,R$0.74,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixinho de pia de cozinha,5,9.800000000000001%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,10,20.000%,R$1.37,R$0.69,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,cinzeiro silicone,1,28.130%,"asin-expanded=""B0C9JNF8QT""",-,campanha de produto indicado,Campanha de Produto Indicado- L2470-CZ-o228/07,Campanha de Produto Indicado- L2470-CZ-o228/07,BRL,2,9,22.220000000000005%,R$2.74,R$1.37,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira 60 litros,52,0.06999999999999999%,*,-,campanha automatica individual,campanha automática individual- P3070-o116/07,campanha automática individual- P3070-o116/07,BRL,1,9,11.110000000000002%,R$0.47,R$0.47,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira bancada cozinha,2,16.070%,lixeira para bancada,PHRASE,campanha de palavra chave,Campanha de Palavra-Chave- L1618-T-o103/07,Campanha de Palavra-Chave- L1618-T-o103/07,BRL,1,9,11.110000000000002%,R$0.72,R$0.72,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira brinox,8,3.360%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,9,22.220000000000005%,R$1.45,R$0.72,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 100 litros,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,9,11.110000000000002%,R$0.84,R$0.84,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira inox 5l,49,0.050%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,2,9,22.220000000000005%,R$0.79,R$0.4,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,lixeira pampa vai e vem inox,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o115/07,BRL,1,9,11.110000000000002%,R$0.79,R$0.79,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h37krphm,8,3.560%,"asin-expanded=""B0B3S7HW5K""",-,campanha de produto indicado,Campanha de Produto Indicado- L2440-AML-o103/07,Campanha de Produto Indicado- L2440-AML-o103/07,BRL,1,6,16.669999999999998%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h37krphm,8,3.560%,"asin-expanded=""B08CCJD9S3""",-,campanha de produto indicado,Campanha de Produto Indicado- L1618-A-o103/07,Campanha de Produto Indicado- L1618-A-o103/07,BRL,1,2,50.000%,R$0.58,R$0.58,0,R$0.0,,0.0,0.000%
