Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
5 de ago. de 2026 - 5 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,SP-01,B0H5Z1XK3V,Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,2,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2440-B,B0H5M7DCH6,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,516,4,0.7752%,0.28500,1.14,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 23 de ago. de 2026,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""37073533131431""",Campanha Manual Palavra-Chave L3070-B,L3070-B,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,103,4,3.8835%,0.87500,3.50,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3070-B,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,775,4,0.5161%,0.72000,2.88,543.85,188.83681,1,1,25.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-B,B0H6KTGGM8,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,130,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3050-B,B0H6KFGC4J,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,308,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2470-A,B0H6QWF5NS,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,674,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 11 de ago. de 2026,"=""59761224759474""",Campanha de Palavra-Chave- L2450-AML-o116/07,"=""95330842647360""",Campanha de Palavra-Chave- L2450-AML-o116/07,L2450-AML,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,178,1,0.5618%,1.68000,1.68,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 29 de jul. de 2026,"=""253216233355680""",Campanha de Produto Indicado- L2450-AML-o103/07,"=""247012709725757""",Campanha de Produto Indicado- L2450-AML-o103/07,L2450-AML,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,470,4,0.8511%,0.88750,3.55,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 29 de jul. de 2026,"=""92632927256196""",campanha automática individual- L2450-AML-o102/07,"=""465385019027987""",campanha automática individual- L2450-AML-o102/07,L2450-AML,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,AMAZON_BR,1383289894499,campanha automatica individual,BRL,183,0,0.0000%,,0.00,0.00,,0,0,
29 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2450-AML,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,146,0,0.0000%,,0.00,0.00,,0,0,
