ASIN (parent),ASIN (child),Título,Sessões - Aplicativo móvel,Sessões – Navegador,Sessões - Total,Porcentagem de sessões – Aplicativo móvel,Porcentagem da sessão - Navegador,Porcentagem de sessões – Total,Visualizações de página - Aplicativo móvel,Visualizações de página - Navegador,Visualizações da página - Total,Porcentagem de visualizações da página – Aplicativo móvel,Porcentagem de visualizações da página - Navegador,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido,Unidades reembolsadas,Tarifa de reembolso,Vendas de produtos enviados,Unidades enviadas,Pedidos enviados
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,5,7,12,1.63%,3.30%,2.32%,5,9,14,1.39%,3.23%,2.19%,85.71%,2,16.67%,"R$ 407,08",1,0,0.00%,"R$ 0,00",0,0
B0H4X46QCC,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,2,4,6,0.65%,1.89%,1.16%,6,4,10,1.67%,1.43%,1.57%,100.00%,1,16.67%,"R$ 335,68",1,0,0.00%,"R$ 0,00",0,0
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,0,1,1,0.00%,0.47%,0.19%,0,1,1,0.00%,0.36%,0.16%,100.00%,3,300.00%,"R$ 1.741,56",1,0,0.00%,"R$ 0,00",0,0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,4,3,7,1.31%,1.42%,1.35%,7,3,10,1.95%,1.08%,1.57%,100.00%,1,14.29%,"R$ 642,24",1,0,0.00%,"R$ 0,00",0,0
B0H63W8G49,B0H63W8G49,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional,11,5,16,3.59%,2.36%,3.09%,12,8,20,3.34%,2.87%,3.13%,100.00%,1,6.25%,"R$ 1.070,17",1,0,0.00%,"R$ 0,00",0,0
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,37,10,47,12.09%,4.72%,9.07%,47,17,64,13.09%,6.09%,10.03%,100.00%,1,2.13%,"R$ 132,90",1,0,0.00%,"R$ 0,00",0,0
B0H6CCHT65,B0H6CCHT65,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,6,5,11,1.96%,2.36%,2.12%,9,5,14,2.51%,1.79%,2.19%,100.00%,1,9.09%,"R$ 119,22",1,0,0.00%,"R$ 0,00",0,0
B0H6NM3QBS,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,2,1,3,0.65%,0.47%,0.58%,2,1,3,0.56%,0.36%,0.47%,100.00%,3,100.00%,"R$ 870,51",1,0,0.00%,"R$ 0,00",0,0
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,47,17,64,15.36%,8.02%,12.36%,61,22,83,16.99%,7.89%,13.01%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
