ASIN (parent),ASIN (child),Título,Sessões - Aplicativo móvel,Sessões – Navegador,Sessões - Total,Porcentagem de sessões – Aplicativo móvel,Porcentagem da sessão - Navegador,Porcentagem de sessões – Total,Visualizações de página - Aplicativo móvel,Visualizações de página - Navegador,Visualizações da página - Total,Porcentagem de visualizações da página – Aplicativo móvel,Porcentagem de visualizações da página - Navegador,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido,Unidades reembolsadas,Tarifa de reembolso,Vendas de produtos enviados,Unidades enviadas,Pedidos enviados
B0H4NGLNQ4,B0H4NGLNQ4,Lixeira de Aço Inox com Pedal 80 Litros 40 x 70 centímetros com Rodízio Alça e Tampa,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,13,13,26,4.25%,6.13%,5.02%,15,14,29,4.18%,5.02%,4.55%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,3,2,5,0.98%,0.94%,0.97%,4,2,6,1.11%,0.72%,0.94%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4P1FFWQ,B0H4P1FFWQ,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,6,6,12,1.96%,2.83%,2.32%,6,9,15,1.67%,3.23%,2.35%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4RY2L65,B0H4RY2L65,Lixeira Aro Meia Lua em Aço Inox 20 Litros 24x40 cm Prateada para Uso Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,9,18,27,2.94%,8.49%,5.21%,10,21,31,2.79%,7.53%,4.86%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,4,0,4,1.31%,0.00%,0.77%,4,0,4,1.11%,0.00%,0.63%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,2,10,12,0.65%,4.72%,2.32%,2,14,16,0.56%,5.02%,2.51%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4WPPLZB,B0H4WPPLZB,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,0,1,1,0.00%,0.47%,0.19%,0,1,1,0.00%,0.36%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H51H5B4D,B0H51H5B4D,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório,1,1,2,0.33%,0.47%,0.39%,1,2,3,0.28%,0.72%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,6,3,9,1.96%,1.42%,1.74%,6,3,9,1.67%,1.08%,1.41%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5M7DCH6,B0H5M7DCH6,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro,3,0,3,0.98%,0.00%,0.58%,3,0,3,0.84%,0.00%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,3,11,14,0.98%,5.19%,2.70%,3,14,17,0.84%,5.02%,2.66%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5MGK37B,B0H5MGK37B,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno,2,1,3,0.65%,0.47%,0.58%,3,1,4,0.84%,0.36%,0.63%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5X97DR7,B0H5X97DR7,Coletor de Bitucas Space de Parede em Aço Inox Polido com Tampa e Fixação para Paredes,11,4,15,3.59%,1.89%,2.90%,11,4,15,3.06%,1.43%,2.35%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5YQ9JMJ,B0H5YQ9JMJ,Cinzeiro Lixeira Aço Inox 25 Litros 24x50 cm Redonda com Aro para Áreas Externas,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H5Z1XK3V,B0H5Z1XK3V,Coletor de Bitucas Inox de Chão Space Redondo com Tampa 27x92 cm para Empresas e Condomínios,2,3,5,0.65%,1.42%,0.97%,2,3,5,0.56%,1.08%,0.78%,70.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H62YWD84,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,0,3,3,0.00%,1.42%,0.58%,0,3,3,0.00%,1.08%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6365DBF,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,10,3,13,3.27%,1.42%,2.51%,15,3,18,4.18%,1.08%,2.82%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H63FKGPJ,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,15,17,32,4.90%,8.02%,6.18%,19,20,39,5.29%,7.17%,6.11%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6C894TV,B0H6C894TV,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório",3,3,6,0.98%,1.42%,1.16%,3,4,7,0.84%,1.43%,1.10%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6C92MLT,B0H6C92MLT,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório,1,1,2,0.33%,0.47%,0.39%,1,1,2,0.28%,0.36%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6C93M6Z,B0H6C93M6Z,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório,2,1,3,0.65%,0.47%,0.58%,2,1,3,0.56%,0.36%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6GSX6YM,B0H6GSX6YM,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno,4,4,8,1.31%,1.89%,1.54%,4,4,8,1.11%,1.43%,1.25%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6GWVPP5,B0H6GWVPP5,Lixeira em Aço Inox com Pedal e Alças 65 Litros 40x50 cm Redonda para Uso Profissional,1,2,3,0.33%,0.94%,0.58%,1,3,4,0.28%,1.08%,0.63%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6H1W988,B0H6H1W988,Lixeira Inox com Pedal e Alça 80 Litros 40x70 cm Redonda Prateada para Uso Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6H2BTKC,B0H6H2BTKC,Lixeira Basculante em Aço Inox 95 Litros 40x75 cm Redonda Tampa Vai e Vem para Uso Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6H4NPN8,B0H6H4NPN8,Lixeira Basculante em Aço Inox 75 Litros 40x60 cm Redonda Tampa Vai e Vem para Uso Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KK21H1,B0H6KK21H1,Lixeira Basculante em Aço Inox 40 Litros 30x60 cm Redonda Flip Top para Uso Interno,0,2,2,0.00%,0.94%,0.39%,0,2,2,0.00%,0.72%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,5,3,8,1.63%,1.42%,1.54%,5,3,8,1.39%,1.08%,1.25%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KPK494,B0H6KPK494,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro,0,2,2,0.00%,0.94%,0.39%,0,2,2,0.00%,0.72%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KPN1XS,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KT72NN,B0H6KT72NN,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha,5,5,10,1.63%,2.36%,1.93%,5,5,10,1.39%,1.79%,1.57%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,3,3,6,0.98%,1.42%,1.16%,3,3,6,0.84%,1.08%,0.94%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6L3552G,B0H6L3552G,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno,3,3,6,0.98%,1.42%,1.16%,3,3,6,0.84%,1.08%,0.94%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6MYJ5P3,B0H6MYJ5P3,Lixeira Aro Meia Lua em Aço Inox 24x30 15 Litros Escritório e Banheiro Design Compacto,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6N9SS25,B0H6N9SS25,"Lixeira Aro Meia Lua em Aço Inox 13 Litros 24x25 cm Prateada para Banheiro, Lavabo e Escritório",1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6NPM4QL,B0H6NPM4QL,Lixeira Aro Meia Lua em Aço Inox 50 Litros 30x70 cm Polida para Cozinha e Escritório,0,1,1,0.00%,0.47%,0.19%,0,1,1,0.00%,0.36%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6QWF5NS,B0H6QWF5NS,Lixeira Aro em Aço Inox 30 Litros 24x70 centímetros Redonda Polida para Uso Interno,1,1,2,0.33%,0.47%,0.39%,1,1,2,0.28%,0.36%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6QYZLYM,B0H6QYZLYM,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno,5,3,8,1.63%,1.42%,1.54%,6,4,10,1.67%,1.43%,1.57%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6R5SYVL,B0H6R5SYVL,"Lixeira Aro em Aço Inox 40 Litros 30x60 cm Prateada para Cozinhas, Escritórios e Clínicas",2,4,6,0.65%,1.89%,1.16%,2,6,8,0.56%,2.15%,1.25%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6R85LBZ,B0H6R85LBZ,"Lixeira Aro em Aço Inox 35 Litros 30x50 cm Redonda Polida para Escritórios, Restaurante Cozinha",0,1,1,0.00%,0.47%,0.19%,0,1,1,0.00%,0.36%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6XM9LGJ,B0H6XM9LGJ,Lixeira Aro em Aço Inox 15 Litros Redonda 24x30 cm para Banheiro Cozinha Escritório,1,1,2,0.33%,0.47%,0.39%,1,2,3,0.28%,0.72%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6XW8YF8,B0H6XW8YF8,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H6XYM5GF,B0H6XYM5GF,"Lixeira Aço Inox 7 Litros com Aro 20x25 cm Redonda para Banheiro, Lavabo e Escritório",1,3,4,0.33%,1.42%,0.77%,1,20,21,0.28%,7.17%,3.29%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H72HJC34,B0H72HJC34,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante,3,3,6,0.98%,1.42%,1.16%,3,5,8,0.84%,1.79%,1.25%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H72JR46M,B0H72JR46M,Lixeira Inox 120L com Pedal e Alças 40x90 Aço Inoxidável Polido Hospital Hotel Shopping,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H735FC9N,B0H735FC9N,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno,0,1,1,0.00%,0.47%,0.19%,0,2,2,0.00%,0.72%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H73CH37Y,B0H73CH37Y,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H77661G6,B0H77661G6,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório,3,2,5,0.98%,0.94%,0.97%,5,2,7,1.39%,0.72%,1.10%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H77J9YF2,B0H77J9YF2,Lixeira de Embutir Inox 5L com Tampa Preta para Pia de Cozinha com Balde Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H77M42RM,B0H77M42RM,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio,3,0,3,0.98%,0.00%,0.58%,3,0,3,0.84%,0.00%,0.47%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7KTX9Y2,B0H7KTX9Y2,Lixeira com Pedal em Aço Inox 120 Litros 40x90 cm Redonda Polida para Uso Interno,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7KWNLZ4,B0H7KWNLZ4,Lixeira Redonda com Pedal Aço Inox 15L 24x30 cm Tampa Higiênica Abertura Sem Contato,1,1,2,0.33%,0.47%,0.39%,1,1,2,0.28%,0.36%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7L3J5DK,B0H7L3J5DK,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno,2,1,3,0.65%,0.47%,0.58%,3,1,4,0.84%,0.36%,0.63%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7LFY3JP,B0H7LFY3JP,Lixeira com Pedal em Aço Inox 30 Litros 30x40 cm Redonda Polida com Aro Removível,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7LG2168,B0H7LG2168,Lixeira Inox Polido com Pedal 12 Litros 24x25 cm para Banheiro Cozinha Escritório,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7LGF1WN,B0H7LGF1WN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica,0,2,2,0.00%,0.94%,0.39%,0,2,2,0.00%,0.72%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7T71WHG,B0H7T71WHG,Porta Guarda-Chuva Redondo Aço Inox 24x70cm 30 Litros Cesto Organizador Para Entrada Recepção Escritório Hotéis,1,0,1,0.33%,0.00%,0.19%,1,0,1,0.28%,0.00%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7T8WJFK,B0H7T8WJFK,Porta Guarda-Chuva em Aço Inox 100 Litros 40x80 cm Redondo para Recepção Escritório Hotel,0,2,2,0.00%,0.94%,0.39%,0,2,2,0.00%,0.72%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7XXH5GV,B0H7XXH5GV,Lixeira Aro Quadrada em Aço Inox 15 Litros 24x30 cm Polida para Banheiro Escritório Cozinha,0,1,1,0.00%,0.47%,0.19%,0,1,1,0.00%,0.36%,0.16%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7YNMBBK,B0H7YNMBBK,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida,21,5,26,6.86%,2.36%,5.02%,21,10,31,5.85%,3.58%,4.86%,96.77%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7Z38T63,B0H7Z38T63,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida,4,2,6,1.31%,0.94%,1.16%,4,3,7,1.11%,1.08%,1.10%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,2,0,2,0.65%,0.00%,0.39%,2,0,2,0.56%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
