Data,Vendas de produtos pedidos,Unidades pedidas,Total de itens do pedido,Vendas médias por item do pedido,Média de unidades por pedido,Preço médio de venda,Sessões - Total,Porcentagem da sessão do item do pedido,Média de contagem de ofertas
19/08/2026,"R$ 335,68",1,1,"R$ 335,68",1.00,"R$ 335,68",44,2.27%,0
20/08/2026,"R$ 1.741,56",3,1,"R$ 1.741,56",3.00,"R$ 580,52",41,2.44%,0
21/08/2026,"R$ 0,00",0,0,"R$ 0,00",0.00,"R$ 0,00",42,0.00%,0
22/08/2026,"R$ 0,00",0,0,"R$ 0,00",0.00,"R$ 0,00",30,0.00%,0
23/08/2026,"R$ 0,00",0,0,"R$ 0,00",0.00,"R$ 0,00",59,0.00%,0
24/08/2026,"R$ 0,00",0,0,"R$ 0,00",0.00,"R$ 0,00",55,0.00%,0
25/08/2026,"R$ 0,00",0,0,"R$ 0,00",0.00,"R$ 0,00",52,0.00%,0
