Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
26 de ago. de 2026 - 26 de ago. de 2026,lixeira 30 litros dupla sem pedal,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,1,1,0.80000,100.0000%,0.80,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 22 de ago. de 2026,lixeira brinox 12l,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,1,1,0.56000,100.0000%,0.56,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 17 de ago. de 2026,lixeira aco inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 8 de set. de 2026,lixeira 30 litros inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,8,1,0.68000,12.5000%,0.68,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 24 de ago. de 2026,arara de roupas de parede,"=""234950194216241""",campanha automática individual- SP-PP-o59/09,"=""559914515436204""",campanha automática individual- SP-PP-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,25,1,1.32000,4.0000%,1.32,0.00,0.00000,0,0,0.0000%
15 de ago. de 2026 - 28 de ago. de 2026,B0F4SRV3MY,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3050,BRL,78,1,0.20000,1.2821%,0.20,0.00,0.00000,0,0,0.0000%
26 de ago. de 2026 - 13 de set. de 2026,B08D8QDY25,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,78,1,0.67000,1.2821%,0.67,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 10 de set. de 2026,lixeira 30l,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3050,BRL,22,1,0.80000,4.5455%,0.80,0.00,0.00000,0,0,0.0000%
18 de ago. de 2026 - 18 de ago. de 2026,cesto de lixo pia de cozinha 5litros inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,1,1,0.46000,100.0000%,0.46,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 13 de set. de 2026,lixeira 50 litros com pedal,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin=""B0CYWMQ93Y""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,28,1,0.67000,3.5714%,0.67,0.00,0.00000,0,0,0.0000%
11 de set. de 2026 - 12 de set. de 2026,lixeira banheiro 3 litros inox basculante,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
27 de ago. de 2026 - 30 de ago. de 2026,lata de lixo inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,2,1,0.80000,50.0000%,0.80,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 12 de set. de 2026,lixeira inox brinox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,12,1,0.68000,8.3333%,0.68,0.00,0.00000,0,0,0.0000%
29 de ago. de 2026 - 7 de set. de 2026,cinzeiro inox,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,"asin-expanded=""B0D2P99K92""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2470-CZ,BRL,5,1,0.10000,20.0000%,0.10,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 25 de ago. de 2026,pastilha lixeira,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P4070ALC,BRL,1,1,0.65000,100.0000%,0.65,0.00,0.00000,0,0,0.0000%
