Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
8 de ago. de 2026 - 9 de ago. de 2026,B0F2NBD56M,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,"asin-expanded=""B076JHMMYG""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L1618-T,BRL,2,1,0.69000,50.0000%,0.69,0.00,0.00000,0,0,0.0000%
19 de ago. de 2026 - 4 de set. de 2026,lixeira inox 5l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,11,1,0.79000,9.0909%,0.79,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 5 de set. de 2026,lixeira banheiro 5l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,28,1,0.60000,3.5714%,0.60,0.00,0.00000,0,0,0.0000%
25 de ago. de 2026 - 26 de ago. de 2026,B0FJJBXMM8,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-B,BRL,4,1,0.80000,25.0000%,0.80,0.00,0.00000,0,0,0.0000%
28 de ago. de 2026 - 28 de ago. de 2026,lixeira 3 litros pia preto,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,1,1,0.20000,100.0000%,0.20,0.00,0.00000,0,0,0.0000%
13 de ago. de 2026 - 6 de set. de 2026,lixeira de banheiro inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,8,1,0.72000,12.5000%,0.72,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 6 de set. de 2026,lixeira de embutir 5 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,EMB-05,BRL,63,1,0.80000,1.5873%,0.80,0.00,0.00000,0,0,0.0000%
2 de set. de 2026 - 2 de set. de 2026,lixeira inox com pedal brinox decorline lixeira aço inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,2,1,0.71000,50.0000%,0.71,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 19 de ago. de 2026,lixeira 15 litros com pedal inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P2430,BRL,1,1,0.61000,100.0000%,0.61,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 6 de set. de 2026,lixeira grande,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2460-AML,BRL,9,1,0.80000,11.1111%,0.80,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 6 de set. de 2026,lixeira para banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,34,1,0.69000,2.9412%,0.69,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,lixeira dourada,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,31,1,0.79000,3.2258%,0.79,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 5 de set. de 2026,lixeira inox 15 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P2430,BRL,19,1,0.80000,5.2632%,0.80,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 29 de ago. de 2026,B08S2P53GD,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,50,1,0.79000,2.0000%,0.79,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 18 de ago. de 2026,B0H5CSY3CT,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0F4T8FCDD""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,6,1,0.66000,16.6667%,0.66,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,B0F4SRV3MY,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,70,1,0.80000,1.4286%,0.80,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 4 de set. de 2026,B0H3QQLFFY,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,3,1,0.79000,33.3333%,0.79,0.00,0.00000,0,0,0.0000%
18 de ago. de 2026 - 25 de ago. de 2026,lixeira inox para pia cozinha,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,lixeira inox para pia de cozinha,EXACT,99873185432506,Campanhas Manuais Claude,L2025-B,BRL,23,1,1.47000,4.3478%,1.47,0.00,0.00000,0,0,0.0000%
21 de ago. de 2026 - 21 de ago. de 2026,cesto de lixo inox2 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,1,1,0.68000,100.0000%,0.68,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 26 de ago. de 2026,B0CYWMQ93Y,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3085-B,BRL,5,1,0.25000,20.0000%,0.25,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 5 de set. de 2026,lixeira inox 30 litros com pedal,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,46,1,0.80000,2.1739%,0.80,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 4 de set. de 2026,lixeira com cinzeiro,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""197709452963098""",Campanha de Palavra-Chave Cinzeiros,lixeira com cinzeiro,EXACT,99873185432506,Campanhas Manuais Claude,L2470-CZ,BRL,20,1,0.28000,5.0000%,0.28,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 26 de ago. de 2026,lixeira inox quadrada,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,7,1,0.59000,14.2857%,0.59,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 10 de ago. de 2026,lixeira inox sem tampa,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3060-A,BRL,1,1,0.79000,100.0000%,0.79,0.00,0.00000,0,0,0.0000%
1 de set. de 2026 - 1 de set. de 2026,lixeira 30l tampa basculante,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 5 de set. de 2026,lixeira inox 100 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P4080,BRL,24,1,0.84000,4.1667%,0.84,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 6 de set. de 2026,lixeira cozinha 3l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,2,1,0.87000,50.0000%,0.87,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 1 de set. de 2026,lata de lixo banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-B,BRL,4,1,0.68000,25.0000%,0.68,0.00,0.00000,0,0,0.0000%
14 de ago. de 2026 - 25 de ago. de 2026,lixeira inox 10 litros tramontina para banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030-B,BRL,2,1,0.80000,50.0000%,0.80,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 23 de ago. de 2026,lata de lixo 40 litros inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3050ALC,BRL,4,1,0.77000,25.0000%,0.77,0.00,0.00000,0,0,0.0000%
16 de ago. de 2026 - 6 de set. de 2026,lata de lixo 100 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4080-A,BRL,29,1,0.73000,3.4483%,0.73,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 6 de set. de 2026,B0FX37Y1RR,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0FX37Y1RR""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,31,1,0.60000,3.2258%,0.60,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 25 de ago. de 2026,B0FS9BC1PR,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030-A,BRL,11,1,0.79000,9.0909%,0.79,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 27 de ago. de 2026,lixeira de inox para banheiro 5l brinox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,2,1,0.72000,50.0000%,0.72,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 11 de ago. de 2026,cinzeiro de chão,"=""126822188430843""",Campanha de Produto Indicado- L2450--CZ-o103/07,"=""136759643121930""",Campanha de Produto Indicado- L2450--CZ-o103/07,"asin-expanded=""B07CBB47V4""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2450--CZ,BRL,4,1,0.89000,25.0000%,0.89,0.00,0.00000,0,0,0.0000%
