ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,47,10.93%,59,11.61%,100.00%,4,8.51%,"R$ 531,60",3
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,52,12.09%,66,12.99%,100.00%,2,3.85%,"R$ 232,00",2
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,4,0.93%,4,0.79%,100.00%,1,25.00%,"R$ 203,54",1
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,17,3.95%,17,3.35%,88.24%,1,5.88%,"R$ 167,89",1
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,7,1.63%,8,1.57%,100.00%,1,14.29%,"R$ 223,88",1
B0H62YWD84,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,3,0.70%,6,1.18%,100.00%,3,100.00%,"R$ 779,70",1
B0H63FKGPJ,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,43,10.00%,45,8.86%,100.00%,1,2.33%,"R$ 616,18",1
B0H77661G6,B0H77661G6,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório,2,0.47%,4,0.79%,100.00%,1,50.00%,"R$ 143,13",1
B0H3MGC36H,B0H3MGC36H,Coletor de Bitucas Space Torre em Aço Inox Polido com Tampa para Áreas Internas e Externas,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QHL2VB,B0H3QHL2VB,Cinzeiro Lixeira em Aço Inox 27 Litros 24x60 cm Redonda com Aro para Área Externa,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,3,0.70%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NGLNQ4,B0H4NGLNQ4,Lixeira de Aço Inox com Pedal 80 Litros 40 x 70 centímetros com Rodízio Alça e Tampa,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,19,4.42%,26,5.12%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,3,0.70%,4,0.79%,100.00%,0,0.00%,"R$ 0,00",0
B0H4S6J82Z,B0H4S6J82Z,Porta Guarda-Chuva em Aço Inox 50 Litros 30x70 cm Prateado para Recepção e Escritório,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,3,0.70%,5,0.98%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,12,2.79%,12,2.36%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WPPLZB,B0H4WPPLZB,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,1,0.23%,1,0.20%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WYYG1W,B0H4WYYG1W,"Lixeira com Pedal em Aço Inox 5 Litros 16x23 cm Redonda para Banheiro, Cozinha e Lavabo",2,0.47%,2,0.39%,100.00%,0,0.00%,"R$ 0,00",0
