Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
20 de jun. de 2026 - 19 de jul. de 2026,"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,"=""38205454685839""",Campanha de Produto Indicado- L2470-B-o115/07,,"asin-expanded=""B076M81W6M""",TARGETING_EXPRESSION,86469580493473,0.55,146788124202114,campanha de produto indicado,BRL,74,1,1.3514%,1.09000,1.09,0.00,0,0.0000%,0,0.00000
4 de jul. de 2026 - 8 de ago. de 2026,"=""139517395374433""",Campanha de Palavra-Chave- P4080-o116/07,"=""105959590738663""",Campanha de Palavra-Chave- P4080-o116/07,,lixeira inox grande,EXACT,124059695695272,1.44,178029480993742,campanha de palavra chave,BRL,12,1,8.3333%,2.27000,2.27,0.00,0,0.0000%,0,0.00000
25 de jun. de 2026 - 19 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0GDP89C2X""",TARGETING_EXPRESSION,248069183419454,0.55,146788124202114,campanha de produto indicado,BRL,245,1,0.4082%,1.01000,1.01,0.00,0,0.0000%,0,0.00000
2 de jul. de 2026 - 6 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B08XQZGWGN""",TARGETING_EXPRESSION,158553220879733,0.58,146788124202114,campanha de produto indicado,BRL,9,0,0.0000%,,0.00,0.00,0,,0,
29 de jul. de 2026 - 5 de set. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin=""B0H37KRPHM""",TARGETING_EXPRESSION,65792207550930,0.9,146788124202114,campanha de produto indicado,BRL,72,0,0.0000%,,0.00,0.00,0,,0,
29 de jun. de 2026 - 29 de jun. de 2026,"=""191419563474871""",Campanha de Produto Indicado- SP-01-o228/07,"=""123420307712623""",Campanha de Produto Indicado- SP-01-o228/07,,"asin-expanded=""B0C5JTQBXF""",TARGETING_EXPRESSION,280142822660345,1.32,146788124202114,campanha de produto indicado,BRL,1,1,100.0000%,0.71000,0.71,475.31,1,100.0000%,1,669.45070
18 de jun. de 2026 - 18 de jun. de 2026,"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,"=""38205454685839""",Campanha de Produto Indicado- L2470-B-o115/07,,"asin-expanded=""B0G46NH4YR""",TARGETING_EXPRESSION,266449540089267,0.55,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
16 de jun. de 2026 - 6 de set. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,,"asin-expanded=""B0GYK3X7FD""",TARGETING_EXPRESSION,269286007171375,0.66,146788124202114,campanha de produto indicado,BRL,280,2,0.7143%,0.43500,0.87,0.00,0,0.0000%,0,0.00000
16 de jun. de 2026 - 28 de jul. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0G99FJF27""",TARGETING_EXPRESSION,268896313465121,0.66,146788124202114,campanha de produto indicado,BRL,61,0,0.0000%,,0.00,0.00,0,,0,
20 de jun. de 2026 - 20 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0GXBQKQ5F""",TARGETING_EXPRESSION,146489046531464,0.55,146788124202114,campanha de produto indicado,BRL,140,1,0.7143%,2.15000,2.15,0.00,0,0.0000%,0,0.00000
