Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L4075-B,B0H6H2BTKC,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,726,1,0.1377%,0.76000,0.76,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 6 de set. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,188,1,0.5319%,1.49000,1.49,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 11 de ago. de 2026,"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""7667999543220""",Campanha de Palavra-Chave- L2030-B-o103/07,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,61,1,1.6393%,0.87000,0.87,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,573,3,0.5236%,0.84333,2.53,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,655,11,1.6794%,0.56636,6.23,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 6 de set. de 2026,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""37073533131431""",Campanha Manual Palavra-Chave L3070-B,L4080-B,B0H6GSX6YM,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,112,0,0.0000%,,0.00,0.00,,0,0,
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L4080-B,B0H6GSX6YM,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,763,4,0.5242%,0.77750,3.11,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P3060ALC,B0H5LJ939G,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,635,1,0.1575%,0.80000,0.80,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3040-A,B0H5MJTHK2,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,405,0,0.0000%,,0.00,0.00,,0,0,
8 de ago. de 2026 - 6 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4050ALC,B0H6GWVPP5,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,427,0,0.0000%,,0.00,0.00,,0,0,
