Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Aug 08, 2026","Sep 06, 2026",Brasil,b0f2nbd56m,1,50.000%,"asin-expanded=""B076JHMMYG""",-,campanha de produto indicado,Campanha de Produto Indicado- L1618-T-o103/07,Campanha de Produto Indicado- L1618-T-o103/07,BRL,1,1,100.000%,R$0.69,R$0.69,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0fpbsjykd,5,6.250%,"asin-expanded=""B0FRV2T2ZP""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,1,100.000%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0g497z2wm,1,100.000%,"asin-expanded=""B0G497Z2WM""",-,campanha de produto indicado,Campanha de Produto Indicado- PXP-o103/07,Campanha de Produto Indicado- PXP-o103/07,BRL,1,1,100.000%,R$0.54,R$0.54,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0g51w62ld,3,16.669999999999998%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0g5j2hfl4,1,33.330%,"asin-expanded=""B0BNLN5K22""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,1,100.000%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gwjztxfg,1,100.000%,"asin-expanded=""B0GWJZTXFG""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,1,100.000%,R$0.81,R$0.81,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gxfg92pz,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.54,R$0.54,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0h4n4mbcj,26,0.100%,"asin-expanded=""B0CXTMVC73""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,1,100.000%,R$1.0,R$1.0,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0h6c5ctsc,1,33.330%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.79,R$0.79,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0h6kt72nn,1,100.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.5,R$0.5,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0h7xzdt7t,3,7.690%,"asin-expanded=""B0F8BDRT3V""",-,campanha de produto indicado,Campanha de Produto Indicado- PXM-o311/08,Campanha de Produto Indicado- PXM-o311/08,BRL,1,1,100.000%,R$0.59,R$0.59,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,balde de lixo para pia,2,25.000%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.58,R$0.58,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,banheiro inox,8,2.560%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,1,100.000%,R$0.54,R$0.54,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,barzinho de parede,18,0.300%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o425/08,campanha automática individual- SP-PP-o425/08,BRL,1,1,100.000%,R$0.9,R$0.9,0,R$0.0,,0.0,0.000%
