ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,12,4.98%,15,5.21%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,4,1.66%,5,1.74%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X46QCC,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,6,2.49%,7,2.43%,100.00%,0,0.00%,"R$ 0,00",0
B0H51H5B4D,B0H51H5B4D,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,3,1.24%,3,1.04%,100.00%,0,0.00%,"R$ 0,00",0
B0H52SC552,B0H52SC552,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,8,3.32%,8,2.78%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MGK37B,B0H5MGK37B,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H5N4TR7B,B0H5N4TR7B,"Lixeira em Aço Inox 5 Litros 16x23 cm Redonda Sem Tampa para Pia, Cozinha e Escritório",1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H6365DBF,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,9,3.73%,9,3.13%,100.00%,0,0.00%,"R$ 0,00",0
B0H63W8G49,B0H63W8G49,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional,14,5.81%,19,6.60%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C894TV,B0H6C894TV,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório",3,1.24%,4,1.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C92MLT,B0H6C92MLT,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H6CCHT65,B0H6CCHT65,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPN1XS,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,3,1.24%,3,1.04%,100.00%,0,0.00%,"R$ 0,00",0
B0H6L3552G,B0H6L3552G,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno,4,1.66%,4,1.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H6QYZLYM,B0H6QYZLYM,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XM9LGJ,B0H6XM9LGJ,Lixeira Aro em Aço Inox 15 Litros Redonda 24x30 cm para Banheiro Cozinha Escritório,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H72HJC34,B0H72HJC34,Lixeira com Pedal em Aço Inox 100 Litros 40x80 cm com Alças para Hospital Hotel Restaurante,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H735FC9N,B0H735FC9N,Lixeira Inox 60L com Pedal e Alça 30x70 Aço Inoxidável Polido Prateada para Uso Interno,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H73CH37Y,B0H73CH37Y,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H77661G6,B0H77661G6,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H7L3J5DK,B0H7L3J5DK,Lixeira com Pedal em Aço Inox 80 Litros 40x70 cm Redonda Polida para Uso Interno,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H7LGF1WN,B0H7LGF1WN,Lixeira Redonda com Pedal em Aço Inox 20L 24x40 cm Tampa com Abertura Higiênica,1,0.41%,1,0.35%,100.00%,0,0.00%,"R$ 0,00",0
B0H7T71WHG,B0H7T71WHG,Porta Guarda-Chuva Redondo Aço Inox 24x70cm 30 Litros Cesto Organizador Para Entrada Recepção Escritório Hotéis,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H7T7K23P,B0H7T7K23P,Cesto Porta Guarda-Chuva Redondo em Aço Inox 40 Litros 30x60 cm Suporte Organizador para Entrada Recepção Escritório,3,1.24%,5,1.74%,100.00%,0,0.00%,"R$ 0,00",0
B0H7YNMBBK,B0H7YNMBBK,Lixeira Basculante Quadrada em Aço Inox 30 Litros 24x60 cm com Tampa Flip Top Polida,16,6.64%,21,7.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H7Z38T63,B0H7Z38T63,Lixeira Quadrada Basculante em Aço Inox 100 Litros 40x70 cm Tampa Vai-Vem Polida,3,1.24%,3,1.04%,100.00%,0,0.00%,"R$ 0,00",0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,2,0.83%,3,1.04%,100.00%,0,0.00%,"R$ 0,00",0
