ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,19,7.88%,24,8.33%,100.00%,2,10.53%,"R$ 265,80",2
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,29,12.03%,40,13.89%,100.00%,1,3.45%,"R$ 116,00",1
B0H63FKGPJ,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,34,14.11%,40,13.89%,100.00%,1,2.94%,"R$ 616,18",1
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,12,4.98%,15,5.21%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,2,0.83%,2,0.69%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,4,1.66%,4,1.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,4,1.66%,4,1.39%,100.00%,0,0.00%,"R$ 0,00",0
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,13,5.39%,16,5.56%,100.00%,0,0.00%,"R$ 0,00",0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,3,1.24%,3,1.04%,100.00%,0,0.00%,"R$ 0,00",0
